city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Dehradun,Uttarakhand,Uttarakhand,2022,4,,insufficient,23.1,,insufficient,23.1,,insufficient,23.1,,insufficient,23.1,,insufficient,24.7,,insufficient,23.1,,insufficient,24.7,,insufficient,23.1,,insufficient,23.1,,insufficient,23.1,,insufficient,13.1,,insufficient,10.8,,insufficient,14.7,,insufficient,23.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Dehradun,Uttarakhand,Uttarakhand,2022,5,40.7907731092437,good,80.0,104.21742857142857,good,80.0,0.2893211920529801,good,81.2,2.7806125827814574,good,81.2,2.475443548387097,good,100.0,4.366192052980133,good,81.2,0.43704301075268814,good,100.0,42.63468543046358,good,81.2,1.6688079470198676,good,81.2,180.90587748344373,good,81.2,56.228112582781456,good,81.2,27.500082781456953,good,81.2,127.13897849462364,good,100.0,800.7191059602649,good,81.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Dehradun,Uttarakhand,Uttarakhand,2022,6,38.70447040498443,good,89.2,112.05009302325581,good,89.6,0.3040490797546012,good,90.6,2.9242396313364054,good,90.4,2.98922967189729,good,97.4,3.7313190184049083,good,90.6,0.2740941512125535,good,97.4,58.995826893353936,good,89.9,1.7043491124260353,good,93.9,191.69903846153844,good,93.9,54.07548816568048,good,93.9,29.01133136094674,good,93.9,151.99189728958632,good,97.4,800.9062130177513,good,93.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Dehradun,Uttarakhand,Uttarakhand,2022,7,11.830982142857144,good,75.3,28.609166666666663,good,77.4,0.2761382799325464,good,79.7,1.928870151770658,good,79.7,1.9709007633587787,good,88.0,2.789072512647555,good,79.7,0.40564885496183206,good,88.0,21.178883248730966,good,79.4,1.403946037099494,good,79.7,175.46591905564924,good,79.7,81.34797639123103,good,79.7,27.15130287648054,good,79.4,113.83815267175571,good,88.0,801.2347892074199,good,79.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Dehradun,Uttarakhand,Uttarakhand,2022,8,17.408273504273506,good,78.6,37.27948333333333,good,80.6,0.3018649517684887,good,83.6,2.073741935483871,good,83.3,2.155414201183432,good,90.9,3.17524115755627,good,83.6,0.2809467455621302,good,90.9,33.74909326424871,good,51.9,1.2465064102564103,good,83.9,187.3958012820513,good,83.9,80.35881410256411,good,83.9,27.417147435897434,good,83.9,113.54495562130177,good,90.9,800.452580128205,good,83.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Dehradun,Uttarakhand,Uttarakhand,2022,9,18.38816155988858,sparse,49.9,34.928219178082195,good,50.7,0.40392,good,52.1,2.75312,good,52.1,2.499063829787234,good,65.3,2.4921333333333333,good,52.1,0.31336170212765957,good,65.3,70.80693333333333,good,52.1,1.1439787798408487,good,52.4,187.3518302387268,good,52.4,82.20628647214855,good,52.4,25.690689655172413,good,52.4,79.60270212765958,good,65.3,800.5788859416446,good,52.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Dehradun,Uttarakhand,Uttarakhand,2022,10,40.497029702970295,sparse,40.7,73.84019305019304,sparse,34.8,0.41471337579617834,sparse,42.2,3.442961783439491,sparse,42.2,2.6841777777777773,good,60.5,2.3996815286624202,sparse,42.2,0.32157777777777774,good,60.5,77.16971337579618,sparse,42.2,1.0805095541401273,sparse,42.2,189.7302866242038,sparse,42.2,75.67449044585987,sparse,42.2,22.61547770700637,sparse,42.2,90.66853333333333,good,60.5,800.307643312102,sparse,42.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Dehradun,Uttarakhand,Uttarakhand,2022,11,53.15459051724138,good,64.4,93.8476724137931,good,64.4,0.6158924731182795,good,64.6,2.8476508620689653,good,64.4,2.618196721311475,good,84.7,1.6258924731182796,good,64.6,0.478983606557377,good,84.7,29.272236559139785,good,64.6,0.8368817204301074,good,64.6,188.69309677419352,good,64.6,77.10430107526882,good,64.6,17.880258064516127,good,64.6,77.7731475409836,good,84.7,800.242193548387,good,64.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Dehradun,Uttarakhand,Uttarakhand,2022,12,74.18913145539906,good,57.3,116.16797647058823,good,57.1,0.8182669789227166,good,57.4,2.460283018867924,good,57.0,3.2336682242990653,good,57.5,0.8163231850117098,good,57.4,0.6932242990654205,good,57.5,24.528782201405154,good,57.4,0.8351869158878505,good,57.5,191.8433411214953,good,57.5,75.90205607476635,good,57.5,13.298481308411215,good,57.5,82.05848130841122,good,57.5,800.752429906542,good,57.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Dehradun,Uttarakhand,Uttarakhand,2023,1,70.13000000000001,sparse,31.0,120.76004405286345,sparse,30.5,0.9960869565217391,sparse,30.9,2.7067400881057266,sparse,30.5,3.4934745762711867,sparse,31.7,0.9848051948051947,sparse,31.0,1.0397033898305086,sparse,31.7,24.41363636363636,sparse,31.0,1.3572222222222223,sparse,31.5,209.0566239316239,sparse,31.5,82.41346153846153,sparse,31.5,12.781495726495725,sparse,31.5,75.45694915254238,sparse,31.7,803.3911538461539,sparse,31.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Dehradun,Uttarakhand,Uttarakhand,2023,2,31.332644320297952,good,79.9,107.83523277467413,good,79.9,0.7910594795539034,good,80.1,1.985767790262172,good,79.5,2.7505947955390333,good,80.1,0.6429553903345725,good,80.1,0.6921561338289963,good,80.1,47.92736059479554,good,80.1,1.1897955390334571,good,80.1,192.9042007434944,good,80.1,66.76353159851301,good,80.1,17.015873605947952,good,80.1,118.43799256505578,good,80.1,800.2500185873605,good,80.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Dehradun,Uttarakhand,Uttarakhand,2023,3,20.25883064516129,good,100.0,73.52986541049799,good,99.9,0.8589381720430107,good,100.0,1.4281904761904762,good,98.8,2.2610618279569894,good,100.0,0.8161155913978495,good,100.0,0.5325320056899004,good,94.5,51.877553763440865,good,100.0,1.596545698924731,good,100.0,197.10083333333336,good,100.0,65.36870967741936,good,100.0,19.449905913978494,good,100.0,127.9769623655914,good,100.0,801.0762903225807,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
